order_id,customer_id,city,cuisine,order_value,delivery_time_min,rating,order_date,order_hour,day_of_week,month,month_num,is_repeat_customer
ORD000024,CUST02324,Kolkata,Biryani,318.71,39,4.6,2024-09-05,18,Thursday,September,9,Repeat
ORD000025,CUST00516,Hyderabad,North Indian,297.31,51,1.9,2024-10-08,14,Tuesday,October,10,Repeat
ORD000026,CUST02209,Chennai,Chinese,337.53,36,3.6,2024-12-31,21,Tuesday,December,12,One-time
ORD000027,CUST02120,Mumbai,South Indian,225.05,15,4.1,2024-02-02,20,Friday,February,2,Repeat
ORD000028,CUST00903,Hyderabad,Pizza,348.57,50,3.2,2024-01-31,11,Wednesday,January,1,Repeat
ORD000029,CUST01354,Hyderabad,South Indian,175.53,30,4.4,2024-12-08,20,Sunday,December,12,One-time
ORD000030,CUST02339,Delhi,South Indian,238.08,30,4.2,2024-08-30,13,Friday,August,8,Repeat
ORD000031,CUST00398,Delhi,South Indian,225.34,45,3.2,2024-07-29,19,Monday,July,7,Repeat
ORD000032,CUST02677,Ahmedabad,Biryani,348.87,31,3.0,2024-07-25,11,Thursday,July,7,Repeat
ORD000033,CUST00785,Hyderabad,North Indian,322.21,38,3.7,2024-08-04,14,Sunday,August,8,Repeat
ORD000034,CUST00309,Mumbai,Burger,235.34,21,3.8,2024-10-08,7,Tuesday,October,10,Repeat
ORD000035,CUST00969,Hyderabad,North Indian,274.3,27,3.9,2024-04-19,10,Friday,April,4,Repeat
ORD000036,CUST01553,Hyderabad,North Indian,330.3,54,3.5,2024-08-20,22,Tuesday,August,8,Repeat
ORD000037,CUST00778,Bangalore,Desserts,159.66,34,2.7,2024-10-23,10,Wednesday,October,10,Repeat
ORD000038,CUST01285,Hyderabad,Chinese,278.14,36,5.0,2024-09-14,18,Saturday,September,9,Repeat
ORD000039,CUST00233,Ahmedabad,Biryani,361.73,38,3.7,2024-04-05,7,Friday,April,4,Repeat
ORD000040,CUST00964,Mumbai,Rolls,127.41,46,4.0,2024-10-18,11,Friday,October,10,Repeat
ORD000041,CUST00336,Mumbai,Chinese,335.37,26,4.8,2024-09-24,21,Tuesday,September,9,Repeat
ORD000042,CUST02744,Chennai,South Indian,142.9,41,5.0,2024-07-21,13,Sunday,July,7,Repeat
ORD000043,CUST01296,Kolkata,Rolls,135.43,29,4.0,2024-01-05,19,Friday,January,1,Repeat
ORD000044,CUST02203,Hyderabad,South Indian,192.31,19,4.2,2024-06-27,13,Thursday,June,6,Repeat
ORD000045,CUST01168,Hyderabad,Burger,183.61,40,3.1,2024-12-26,19,Thursday,December,12,Repeat
ORD000046,CUST02272,Bangalore,Chinese,388.5,27,3.8,2024-03-09,19,Saturday,March,3,One-time
ORD000047,CUST02267,Hyderabad,South Indian,264.74,23,4.2,2024-04-17,13,Wednesday,April,4,Repeat
ORD000048,CUST02598,Pune,North Indian,398.04,19,4.2,2024-05-08,10,Wednesday,May,5,Repeat
ORD000049,CUST02599,Mumbai,South Indian,234.29,43,2.9,2024-01-02,20,Tuesday,January,1,Repeat
ORD000050,CUST01073,Hyderabad,North Indian,200.97,40,3.9,2024-12-27,19,Friday,December,12,Repeat
ORD000051,CUST00309,Kolkata,Chinese,297.53,38,3.3,2024-03-17,21,Sunday,March,3,Repeat
ORD000052,CUST02264,Hyderabad,Biryani,402.06,38,3.3,2024-06-06,19,Thursday,June,6,Repeat
ORD000053,CUST01466,Hyderabad,South Indian,322.62,40,3.0,2024-02-22,22,Thursday,February,2,One-time
ORD000054,CUST00634,Kolkata,South Indian,256.11,25,4.5,2024-03-24,12,Sunday,March,3,Repeat
ORD000055,CUST01689,Hyderabad,Pizza,412.69,27,4.5,2024-06-19,16,Wednesday,June,6,Repeat
ORD000056,CUST02744,Pune,Burger,275.8,43,4.8,2024-05-16,11,Thursday,May,5,Repeat
ORD000057,CUST00159,Pune,South Indian,206.5,27,3.4,2024-08-23,20,Friday,August,8,Repeat
ORD000058,CUST00097,Delhi,North Indian,238.81,34,4.0,2024-05-22,14,Wednesday,May,5,One-time
ORD000059,CUST02628,Mumbai,Chinese,299.37,43,3.6,2024-10-01,19,Tuesday,October,10,Repeat
ORD000060,CUST01070,Hyderabad,Desserts,204.51,32,5.0,2024-05-15,10,Wednesday,May,5,Repeat
ORD000061,CUST02985,Chennai,North Indian,346.93,26,3.3,2024-09-18,8,Wednesday,September,9,Repeat
ORD000062,CUST00182,Delhi,Biryani,425.83,33,4.3,2024-10-02,21,Wednesday,October,10,Repeat
ORD000063,CUST02747,Hyderabad,North Indian,335.49,34,3.3,2024-12-06,19,Friday,December,12,One-time
ORD000064,CUST02718,Pune,Pizza,198.81,31,4.4,2024-06-02,22,Sunday,June,6,Repeat
ORD000065,CUST01649,Delhi,North Indian,316.06,23,4.1,2024-04-08,22,Monday,April,4,One-time
ORD000066,CUST00713,Delhi,South Indian,241.19,26,4.1,2024-10-07,14,Monday,October,10,Repeat
ORD000067,CUST00861,Mumbai,Chinese,284.07,24,4.2,2024-12-01,22,Sunday,December,12,One-time
ORD000068,CUST02768,Hyderabad,North Indian,342.06,46,4.2,2024-03-27,14,Wednesday,March,3,Repeat
ORD000069,CUST02720,Delhi,South Indian,144.23,26,4.3,2024-04-30,13,Tuesday,April,4,Repeat
ORD000070,CUST00816,Hyderabad,Biryani,428.81,40,5.0,2024-08-31,11,Saturday,August,8,One-time
ORD000071,CUST01698,Pune,Chinese,319.96,46,4.2,2024-12-22,22,Sunday,December,12,Repeat
ORD000072,CUST00605,Delhi,Biryani,441.88,32,4.3,2024-02-24,13,Saturday,February,2,Repeat
ORD000073,CUST02851,Mumbai,Biryani,306.58,33,3.5,2024-05-07,11,Tuesday,May,5,Repeat
ORD000074,CUST00547,Chennai,Chinese,285.73,58,2.2,2024-10-13,17,Sunday,October,10,Repeat
ORD000075,CUST02947,Kolkata,North Indian,351.47,19,3.8,2024-10-07,20,Monday,October,10,One-time
ORD000076,CUST01945,Mumbai,Pizza,407.12,36,3.1,2024-11-22,22,Friday,November,11,Repeat
ORD000077,CUST00980,Bangalore,Biryani,312.05,42,3.2,2024-05-26,13,Sunday,May,5,Repeat
ORD000078,CUST02213,Hyderabad,Biryani,400.56,35,3.4,2024-07-15,21,Monday,July,7,Repeat
ORD000079,CUST00264,Mumbai,South Indian,337.92,41,2.5,2024-08-26,20,Monday,August,8,One-time
ORD000080,CUST01721,Bangalore,Pizza,334.92,28,4.5,2024-12-22,10,Sunday,December,12,Repeat
ORD000081,CUST00025,Kolkata,South Indian,176.41,34,4.1,2024-07-18,16,Thursday,July,7,Repeat
ORD000082,CUST02237,Chennai,Rolls,218.96,23,3.8,2024-09-06,14,Friday,September,9,One-time
ORD000083,CUST00119,Bangalore,Chinese,246.75,28,5.0,2024-07-26,17,Friday,July,7,Repeat
ORD000084,CUST00523,Ahmedabad,North Indian,330.37,22,4.6,2024-07-20,20,Saturday,July,7,Repeat
ORD000085,CUST00344,Delhi,Biryani,581.6,45,2.7,2024-08-24,13,Saturday,August,8,Repeat
ORD000086,CUST01341,Hyderabad,South Indian,193.37,48,3.1,2024-07-13,22,Saturday,July,7,Repeat
ORD000087,CUST00336,Mumbai,Pizza,355.51,43,3.1,2024-01-27,15,Saturday,January,1,Repeat
ORD000088,CUST02663,Hyderabad,Desserts,147.77,15,3.6,2024-01-21,13,Sunday,January,1,Repeat
ORD000089,CUST00084,Delhi,South Indian,206.11,23,5.0,2024-08-30,19,Friday,August,8,Repeat
ORD000090,CUST01905,Delhi,Pizza,205.59,31,4.0,2024-03-26,21,Tuesday,March,3,One-time
ORD000091,CUST00470,Chennai,Biryani,516.92,21,4.8,2024-06-08,7,Saturday,June,6,Repeat
ORD000092,CUST01278,Delhi,Rolls,180.46,25,4.3,2024-07-11,20,Thursday,July,7,One-time
ORD000093,CUST02426,Delhi,Chinese,293.93,29,4.0,2024-02-22,14,Thursday,February,2,Repeat
ORD000094,CUST02803,Delhi,Biryani,343.4,36,4.2,2024-10-16,15,Wednesday,October,10,Repeat
ORD000095,CUST01755,Delhi,Biryani,530.67,23,5.0,2024-11-27,22,Wednesday,November,11,Repeat
ORD000096,CUST02008,Hyderabad,Desserts,80.0,33,4.2,2024-11-21,17,Thursday,November,11,Repeat
ORD000097,CUST00627,Mumbai,Pizza,342.48,29,3.8,2024-11-29,22,Friday,November,11,One-time
ORD000098,CUST01785,Pune,Chinese,245.49,29,4.4,2024-06-14,11,Friday,June,6,One-time
ORD000099,CUST01847,Bangalore,North Indian,326.78,28,4.5,2024-11-08,15,Friday,November,11,Repeat
ORD000100,CUST02025,Pune,Biryani,409.19,43,4.0,2024-04-18,21,Thursday,April,4,One-time
ORD000101,CUST01146,Pune,Pizza,253.68,29,4.4,2024-05-21,18,Tuesday,May,5,Repeat
ORD000102,CUST00351,Bangalore,North Indian,345.78,35,3.9,2024-10-11,21,Friday,October,10,One-time
ORD000103,CUST02646,Chennai,North Indian,395.82,29,4.2,2024-01-09,8,Tuesday,January,1,Repeat
ORD000104,CUST02834,Bangalore,Chinese,265.85,33,4.5,2024-07-07,21,Sunday,July,7,Repeat
ORD000105,CUST02255,Bangalore,Pizza,386.03,43,4.4,2024-05-18,20,Saturday,May,5,Repeat
ORD000106,CUST02955,Hyderabad,Biryani,382.0,42,3.5,2024-10-01,21,Tuesday,October,10,Repeat
ORD000107,CUST00785,Hyderabad,North Indian,324.31,34,3.9,2024-10-28,18,Monday,October,10,Repeat
ORD000108,CUST01160,Ahmedabad,Burger,287.2,27,5.0,2024-05-31,12,Friday,May,5,Repeat
ORD000109,CUST00058,Delhi,Biryani,284.43,23,4.7,2024-01-24,18,Wednesday,January,1,One-time
ORD000110,CUST02857,Kolkata,Chinese,335.42,41,4.1,2024-09-08,7,Sunday,September,9,Repeat
ORD000111,CUST01165,Mumbai,North Indian,299.08,26,4.0,2024-04-04,14,Thursday,April,4,Repeat
ORD000112,CUST01957,Hyderabad,Biryani,315.67,45,3.5,2024-09-08,7,Sunday,September,9,Repeat
ORD000113,CUST00612,Pune,Rolls,142.85,32,4.1,2024-02-13,11,Tuesday,February,2,Repeat
ORD000114,CUST01705,Delhi,Pizza,274.9,27,4.1,2024-04-25,16,Thursday,April,4,Repeat
ORD000115,CUST01814,Bangalore,Chinese,297.15,30,3.6,2024-08-07,19,Wednesday,August,8,Repeat
ORD000116,CUST00407,Kolkata,Biryani,402.04,21,3.2,2024-04-18,19,Thursday,April,4,Repeat
ORD000117,CUST00983,Hyderabad,Biryani,311.75,33,4.0,2024-01-02,22,Tuesday,January,1,One-time
ORD000118,CUST00134,Bangalore,Pizza,438.03,44,3.5,2024-12-25,11,Wednesday,December,12,One-time
ORD000119,CUST00957,Kolkata,Pizza,318.48,25,4.0,2024-11-16,13,Saturday,November,11,One-time
ORD000120,CUST00471,Mumbai,Chinese,259.79,38,3.2,2024-05-16,11,Thursday,May,5,Repeat
ORD000121,CUST00680,Chennai,Chinese,316.35,50,3.4,2024-10-18,17,Friday,October,10,Repeat
ORD000122,CUST01920,Delhi,Chinese,308.12,42,3.4,2024-05-19,22,Sunday,May,5,Repeat
ORD000123,CUST00330,Delhi,Rolls,190.08,35,3.9,2024-06-14,10,Friday,June,6,One-time
ORD000124,CUST00938,Ahmedabad,Burger,201.69,35,4.1,2024-10-21,10,Monday,October,10,Repeat
ORD000125,CUST02754,Pune,Chinese,381.58,45,4.9,2024-03-30,22,Saturday,March,3,Repeat
ORD000126,CUST01140,Hyderabad,Chinese,226.29,44,3.7,2024-11-21,11,Thursday,November,11,One-time
ORD000127,CUST01426,Mumbai,South Indian,340.44,27,3.5,2024-02-23,15,Friday,February,2,Repeat
ORD000128,CUST02842,Mumbai,Chinese,238.04,15,3.9,2024-07-24,18,Wednesday,July,7,Repeat
ORD000129,CUST01863,Hyderabad,South Indian,178.25,37,4.0,2024-02-29,16,Thursday,February,2,Repeat
ORD000130,CUST02108,Pune,Biryani,558.24,45,3.3,2024-10-04,19,Friday,October,10,Repeat
ORD000131,CUST02124,Bangalore,Pizza,248.13,40,2.9,2024-11-16,19,Saturday,November,11,Repeat
ORD000132,CUST01094,Mumbai,Rolls,262.42,47,3.3,2024-08-12,17,Monday,August,8,Repeat
ORD000133,CUST00119,Ahmedabad,Chinese,160.08,49,3.5,2024-05-02,14,Thursday,May,5,Repeat
ORD000134,CUST00057,Mumbai,Biryani,497.59,19,3.8,2024-02-28,19,Wednesday,February,2,Repeat
ORD000135,CUST00631,Mumbai,Pizza,320.42,35,3.5,2024-09-17,16,Tuesday,September,9,Repeat
ORD000136,CUST01977,Ahmedabad,South Indian,254.26,24,3.9,2024-10-09,12,Wednesday,October,10,Repeat
ORD000137,CUST02456,Mumbai,Burger,257.52,40,4.1,2024-02-05,22,Monday,February,2,Repeat
ORD000138,CUST02080,Bangalore,Biryani,273.16,20,4.9,2024-06-01,19,Saturday,June,6,One-time
ORD000139,CUST02006,Pune,North Indian,324.92,28,4.9,2024-09-04,22,Wednesday,September,9,Repeat
ORD000140,CUST01319,Pune,Desserts,154.34,47,3.6,2024-05-02,13,Thursday,May,5,Repeat
ORD000141,CUST01683,Hyderabad,Pizza,484.86,53,3.3,2024-12-27,16,Friday,December,12,Repeat
ORD000142,CUST02719,Chennai,Chinese,348.01,41,4.5,2024-03-18,19,Monday,March,3,Repeat
ORD000143,CUST02058,Ahmedabad,South Indian,166.93,42,4.3,2024-02-21,17,Wednesday,February,2,One-time
ORD000144,CUST02155,Kolkata,Biryani,212.92,23,2.8,2024-03-14,20,Thursday,March,3,One-time
ORD000145,CUST01924,Chennai,South Indian,205.18,42,4.6,2024-11-15,20,Friday,November,11,One-time
ORD000146,CUST01346,Pune,Burger,254.63,51,2.7,2024-07-13,20,Saturday,July,7,One-time
ORD000147,CUST01999,Pune,Biryani,218.18,34,4.1,2024-02-05,13,Monday,February,2,Repeat
ORD000148,CUST00371,Mumbai,Biryani,376.89,15,4.1,2024-11-20,11,Wednesday,November,11,Repeat
ORD000149,CUST00682,Delhi,Rolls,121.3,42,3.9,2024-01-24,19,Wednesday,January,1,Repeat
ORD000150,CUST01469,Bangalore,Biryani,290.71,30,3.3,2024-09-28,20,Saturday,September,9,Repeat
ORD000151,CUST00718,Hyderabad,Burger,246.08,45,3.0,2024-11-13,17,Wednesday,November,11,Repeat
ORD000152,CUST02389,Hyderabad,North Indian,337.8,30,3.4,2024-05-10,19,Friday,May,5,Repeat
ORD000153,CUST01906,Kolkata,Chinese,272.51,25,3.7,2024-03-21,9,Thursday,March,3,Repeat
ORD000154,CUST01226,Delhi,North Indian,210.16,55,3.4,2024-05-08,21,Wednesday,May,5,Repeat
ORD000155,CUST01576,Pune,Biryani,313.53,37,3.7,2024-07-14,19,Sunday,July,7,Repeat
ORD000156,CUST02865,Bangalore,Desserts,141.71,41,4.1,2024-12-03,19,Tuesday,December,12,Repeat
ORD000157,CUST02810,Chennai,Desserts,130.11,29,3.8,2024-11-06,14,Wednesday,November,11,Repeat
ORD000158,CUST00943,Delhi,South Indian,93.39,20,4.9,2024-11-21,13,Thursday,November,11,Repeat
ORD000159,CUST02953,Chennai,Chinese,395.15,33,4.2,2024-03-11,20,Monday,March,3,Repeat
ORD000160,CUST00162,Bangalore,North Indian,323.34,66,3.9,2024-10-23,20,Wednesday,October,10,Repeat
ORD000161,CUST01209,Bangalore,North Indian,290.41,25,3.0,2024-04-12,13,Friday,April,4,Repeat
ORD000162,CUST02056,Kolkata,Burger,262.72,27,3.1,2024-05-11,17,Saturday,May,5,Repeat
ORD000163,CUST01209,Chennai,South Indian,184.44,24,5.0,2024-02-28,19,Wednesday,February,2,Repeat
ORD000164,CUST00925,Pune,Pizza,390.53,35,4.7,2024-07-22,18,Monday,July,7,Repeat
ORD000165,CUST00370,Chennai,Biryani,387.35,26,4.9,2024-10-01,13,Tuesday,October,10,Repeat
ORD000166,CUST02754,Bangalore,North Indian,340.42,25,3.9,2024-11-22,11,Friday,November,11,Repeat
ORD000167,CUST00958,Mumbai,Chinese,218.71,21,4.6,2024-10-14,20,Monday,October,10,Repeat
ORD000168,CUST00259,Delhi,North Indian,443.21,21,4.4,2024-12-24,22,Tuesday,December,12,One-time
ORD000169,CUST00573,Hyderabad,Biryani,318.19,30,3.5,2024-09-09,8,Monday,September,9,Repeat
ORD000170,CUST02202,Hyderabad,North Indian,235.2,35,3.3,2024-12-09,21,Monday,December,12,Repeat
ORD000171,CUST01717,Delhi,Pizza,341.64,34,3.7,2024-07-31,17,Wednesday,July,7,Repeat
ORD000172,CUST01672,Kolkata,South Indian,170.08,29,4.4,2024-12-19,22,Thursday,December,12,Repeat
ORD000173,CUST00968,Pune,Biryani,427.59,25,4.1,2024-12-17,21,Tuesday,December,12,Repeat
ORD000174,CUST01631,Bangalore,Desserts,178.18,18,4.5,2024-08-20,8,Tuesday,August,8,Repeat
ORD000175,CUST02620,Delhi,Biryani,317.05,41,3.2,2024-06-19,12,Wednesday,June,6,Repeat
ORD000176,CUST02313,Hyderabad,Burger,137.19,19,4.1,2024-10-10,12,Thursday,October,10,Repeat
ORD000177,CUST00955,Bangalore,Biryani,404.67,26,4.4,2024-11-01,8,Friday,November,11,Repeat
ORD000178,CUST02213,Bangalore,Biryani,222.16,34,3.1,2024-12-04,12,Wednesday,December,12,Repeat
ORD000179,CUST01468,Chennai,South Indian,184.15,35,3.3,2024-06-14,9,Friday,June,6,Repeat
ORD000180,CUST00520,Chennai,North Indian,271.16,45,3.3,2024-02-02,21,Friday,February,2,Repeat
ORD000181,CUST02432,Hyderabad,North Indian,362.68,24,4.3,2024-11-10,9,Sunday,November,11,Repeat
ORD000182,CUST02636,Ahmedabad,Biryani,516.95,15,3.7,2024-09-02,16,Monday,September,9,Repeat
ORD000183,CUST00443,Mumbai,Rolls,205.97,33,4.1,2024-02-07,15,Wednesday,February,2,Repeat
ORD000184,CUST00608,Hyderabad,South Indian,186.78,36,3.7,2024-11-20,21,Wednesday,November,11,Repeat
ORD000185,CUST01561,Ahmedabad,North Indian,387.58,38,3.9,2024-08-20,22,Tuesday,August,8,Repeat
ORD000186,CUST02875,Hyderabad,Chinese,251.17,30,3.6,2024-10-09,13,Wednesday,October,10,Repeat
ORD000187,CUST01850,Pune,North Indian,329.58,31,4.1,2024-08-20,19,Tuesday,August,8,Repeat
ORD000188,CUST01749,Bangalore,South Indian,334.15,44,3.4,2024-03-19,17,Tuesday,March,3,Repeat
ORD000189,CUST00374,Pune,Biryani,494.12,31,2.7,2024-02-19,15,Monday,February,2,Repeat
ORD000190,CUST00533,Mumbai,Chinese,209.43,16,4.0,2024-10-14,20,Monday,October,10,Repeat
ORD000191,CUST01683,Bangalore,Chinese,281.29,52,3.7,2024-08-04,21,Sunday,August,8,Repeat
ORD000192,CUST01179,Delhi,South Indian,207.95,43,2.3,2024-10-22,20,Tuesday,October,10,Repeat
ORD000193,CUST01976,Bangalore,Biryani,402.38,43,2.8,2024-10-11,21,Friday,October,10,Repeat
ORD000194,CUST00927,Chennai,Burger,321.48,38,3.5,2024-11-14,20,Thursday,November,11,Repeat
ORD000195,CUST00108,Delhi,Chinese,324.29,58,3.4,2024-12-21,20,Saturday,December,12,Repeat
ORD000196,CUST02879,Chennai,Rolls,191.17,30,3.4,2024-06-28,8,Friday,June,6,Repeat
ORD000197,CUST02693,Mumbai,Biryani,458.88,26,4.0,2024-11-20,11,Wednesday,November,11,Repeat
ORD000198,CUST02173,Hyderabad,North Indian,264.18,40,3.9,2024-06-23,13,Sunday,June,6,Repeat
ORD000199,CUST01329,Chennai,Chinese,352.63,30,3.7,2024-02-13,12,Tuesday,February,2,Repeat
ORD000200,CUST02531,Hyderabad,Biryani,287.02,31,4.1,2024-08-14,17,Wednesday,August,8,Repeat
ORD000201,CUST01811,Mumbai,Biryani,451.91,26,4.5,2024-09-19,10,Thursday,September,9,Repeat
ORD000202,CUST01161,Delhi,Chinese,374.89,39,4.8,2024-09-26,10,Thursday,September,9,Repeat
ORD000203,CUST01619,Ahmedabad,Biryani,306.49,23,3.0,2024-04-14,20,Sunday,April,4,One-time
ORD000204,CUST00563,Chennai,South Indian,302.28,42,3.6,2024-03-02,10,Saturday,March,3,Repeat
ORD000205,CUST00530,Bangalore,Pizza,342.4,24,5.0,2024-09-13,20,Friday,September,9,Repeat
ORD000206,CUST01451,Hyderabad,Burger,258.08,36,4.2,2024-01-22,22,Monday,January,1,Repeat
ORD000207,CUST00319,Pune,Chinese,313.67,37,3.3,2024-10-20,22,Sunday,October,10,Repeat
ORD000208,CUST00472,Mumbai,Desserts,167.68,54,4.2,2024-03-28,19,Thursday,March,3,Repeat
ORD000209,CUST02825,Kolkata,Biryani,531.35,30,3.3,2024-02-24,14,Saturday,February,2,Repeat
ORD000210,CUST00323,Bangalore,South Indian,213.08,36,4.4,2024-06-22,12,Saturday,June,6,Repeat
ORD000211,CUST02091,Delhi,North Indian,173.07,50,3.4,2024-04-09,15,Tuesday,April,4,Repeat
ORD000212,CUST02980,Ahmedabad,Chinese,250.12,25,3.0,2024-03-16,12,Saturday,March,3,Repeat
ORD000213,CUST00809,Hyderabad,Biryani,458.2,36,3.0,2024-12-01,10,Sunday,December,12,Repeat
ORD000214,CUST02310,Chennai,North Indian,202.87,32,4.9,2024-10-16,19,Wednesday,October,10,One-time
ORD000215,CUST02570,Bangalore,North Indian,280.53,20,4.0,2024-08-28,21,Wednesday,August,8,Repeat
ORD000216,CUST01126,Delhi,South Indian,205.0,15,4.2,2024-02-07,22,Wednesday,February,2,Repeat
ORD000217,CUST00234,Bangalore,South Indian,207.3,42,4.8,2024-11-26,11,Tuesday,November,11,Repeat
ORD000218,CUST02434,Mumbai,North Indian,384.49,32,3.2,2024-10-10,21,Thursday,October,10,Repeat
ORD000219,CUST00169,Mumbai,Burger,410.83,36,3.8,2024-11-29,14,Friday,November,11,Repeat
ORD000220,CUST00618,Ahmedabad,North Indian,298.19,37,3.7,2024-06-24,11,Monday,June,6,Repeat
ORD000221,CUST02647,Hyderabad,South Indian,188.45,30,3.9,2024-08-12,18,Monday,August,8,Repeat
ORD000222,CUST02498,Hyderabad,South Indian,190.11,28,4.0,2024-05-24,21,Friday,May,5,One-time
ORD000223,CUST02449,Hyderabad,Chinese,262.15,50,1.9,2024-06-20,7,Thursday,June,6,Repeat
ORD000224,CUST02779,Bangalore,South Indian,280.03,47,2.3,2024-12-02,19,Monday,December,12,Repeat
ORD000225,CUST00616,Bangalore,Chinese,256.01,31,3.0,2024-03-13,14,Wednesday,March,3,Repeat
ORD000226,CUST02861,Delhi,Biryani,306.11,24,5.0,2024-12-28,14,Saturday,December,12,Repeat
ORD000227,CUST01543,Delhi,South Indian,271.46,48,4.0,2024-03-06,21,Wednesday,March,3,One-time
ORD000228,CUST02157,Hyderabad,Chinese,200.97,30,4.2,2024-09-17,21,Tuesday,September,9,Repeat
ORD000229,CUST00739,Ahmedabad,South Indian,152.78,42,3.5,2024-09-05,12,Thursday,September,9,One-time
ORD000230,CUST00317,Bangalore,Pizza,290.01,42,3.9,2024-09-16,21,Monday,September,9,Repeat
ORD000231,CUST02157,Hyderabad,South Indian,200.15,47,2.9,2024-11-12,14,Tuesday,November,11,Repeat
ORD000232,CUST00665,Hyderabad,Chinese,323.12,41,3.5,2024-11-15,12,Friday,November,11,Repeat
ORD000233,CUST01793,Hyderabad,South Indian,237.94,22,4.6,2024-05-01,19,Wednesday,May,5,Repeat
ORD000234,CUST01839,Bangalore,South Indian,209.83,30,4.5,2024-08-28,13,Wednesday,August,8,Repeat
ORD000235,CUST02779,Kolkata,Desserts,123.59,21,3.1,2024-08-24,16,Saturday,August,8,Repeat
ORD000236,CUST02161,Mumbai,Biryani,437.57,22,5.0,2024-04-12,12,Friday,April,4,Repeat
ORD000237,CUST01025,Hyderabad,North Indian,143.86,52,3.6,2024-07-09,11,Tuesday,July,7,Repeat
ORD000238,CUST02114,Pune,South Indian,214.68,30,4.1,2024-03-23,20,Saturday,March,3,Repeat
ORD000239,CUST01792,Hyderabad,Rolls,178.31,46,3.6,2024-08-18,10,Sunday,August,8,One-time
ORD000240,CUST00219,Bangalore,South Indian,228.27,31,3.8,2024-07-16,15,Tuesday,July,7,One-time
ORD000241,CUST00116,Bangalore,Biryani,409.24,18,3.3,2024-12-31,12,Tuesday,December,12,One-time
ORD000242,CUST00157,Bangalore,Burger,296.45,37,3.6,2024-12-22,21,Sunday,December,12,Repeat
ORD000243,CUST01838,Delhi,Rolls,180.83,38,3.4,2024-01-10,20,Wednesday,January,1,Repeat
ORD000244,CUST02979,Delhi,North Indian,241.63,37,3.2,2024-05-27,11,Monday,May,5,Repeat
ORD000245,CUST00977,Mumbai,Pizza,352.66,18,4.8,2024-08-22,10,Thursday,August,8,One-time
ORD000246,CUST02196,Hyderabad,North Indian,335.44,38,4.3,2024-05-03,14,Friday,May,5,Repeat
ORD000247,CUST00007,Delhi,South Indian,311.6,45,2.5,2024-08-01,11,Thursday,August,8,Repeat
ORD000248,CUST01478,Hyderabad,North Indian,204.03,29,3.9,2024-09-16,18,Monday,September,9,One-time
ORD000249,CUST00084,Bangalore,North Indian,338.82,28,4.1,2024-11-21,21,Thursday,November,11,Repeat
